,ME,no_mwu
837,99948480,100051520
838,99951480,100048520
839,99949040,100050960
840,99946000,100054000
841,99948520,100051480
842,99944800,100055200
843,99944240,100055760
844,99944320,100055680
845,99944560,100055440
846,99946520,100053480
847,99946040,100053960
848,99945240,100054760
849,99942800,100057200
850,99944040,100055960
851,99946200,100053800
852,99944080,100055920
853,99947760,100052240
854,99950720,100049280
855,99955000,100045000
856,99956680,100043320
857,99959160,100040840
858,99962240,100037760
859,99957600,100042400
860,99960080,100039920
861,99963360,100036640
862,99963200,100036800
863,99967520,100032480
864,99967640,100032360
865,99968240,100031760
866,99967600,100032400
867,99965000,100035000
868,99957880,100042120
869,99958840,100041160
870,99961720,100038280
871,99962520,100037480
872,99961600,100038400
873,99961960,100038040
874,99965200,100034800
875,99975000,100025000
876,99971640,100028360
877,99967800,100032200
878,99965640,100034360
879,99966440,100033560
880,99964880,100035120
881,99965960,100034040
882,99964640,100035360
883,99965960,100034040
884,99964400,100035600
885,99966400,100033600
886,99973160,100026840
887,99964560,100035440
888,99966760,100033240
889,99962640,100037360
890,99966480,100033520
891,99965280,100034720
892,99966080,100033920
893,99965360,100034640
894,99967600,100032400
895,99969240,100030760
896,99974560,100025440
897,99970840,100029160
898,99970640,100029360
899,99972920,100027080
900,99972760,100027240
901,99979720,100020280
902,99973920,100026080
903,99975800,100024200
904,99978680,100021320
905,99983160,100016840
906,99979600,100020400
907,99980200,100019800
908,99983200,100016800
909,99982680,100017320
910,99984520,100015480
911,99979920,100020080
912,99984320,100015680
913,99985440,100014560
914,99986760,100013240
915,99984560,100015440
916,99985600,100014400
917,99982320,100017680
918,99983640,100016360
919,99987400,100012600
920,99982200,100017800
921,99990920,100009080
922,99993040,100006960
923,99994880,100005120
924,99992920,100007080
925,99994960,100005040
926,99995240,100004760
927,99999400,100000600
928,100003160,99996840
929,100003280,99996720
930,100004280,99995720
931,100001200,99998800
932,99996480,100003520
933,99997080,100002920
934,99993560,100006440
935,99993160,100006840
936,99994080,100005920
937,99992880,100007120
938,99989600,100010400
939,99990840,100009160
940,99986800,100013200
941,99993640,100006360
942,99993880,100006120
943,99992520,100007480
944,99990840,100009160
945,99995720,100004280
946,99998280,100001720
947,99996280,100003720
948,99997400,100002600
949,99993560,100006440
950,99990000,100010000
951,99990120,100009880
952,99991040,100008960
953,99992880,100007120
