,ME,no_mwu
156,125280,74720
157,126480,73520
158,124720,75280
159,126040,73960
160,127680,72320
161,127240,72760
162,128240,71760
163,128520,71480
164,128080,71920
165,127080,72920
166,124760,75240
167,123680,76320
168,124560,75440
169,123360,76640
170,120960,79040
171,121400,78600
172,122000,78000
173,119120,80880
174,117880,82120
175,118840,81160
176,117240,82760
177,117440,82560
178,118720,81280
179,118800,81200
180,117720,82280
181,116400,83600
182,117440,82560
183,117640,82360
184,117320,82680
185,119000,81000
186,117040,82960
187,118200,81800
188,118800,81200
189,119240,80760
190,119080,80920
191,120200,79800
192,120960,79040
193,120400,79600
194,118720,81280
195,119000,81000
196,116760,83240
197,114120,85880
198,112280,87720
199,111560,88440
200,110920,89080
201,111200,88800
202,112400,87600
203,112840,87160
204,113880,86120
205,110520,89480
206,108040,91960
207,105680,94320
208,105880,94120
209,105680,94320
210,106120,93880
211,104880,95120
212,104760,95240
213,105120,94880
214,104800,95200
215,105120,94880
216,104960,95040
217,104720,95280
218,104160,95840
219,106280,93720
220,105360,94640
221,104840,95160
222,105560,94440
223,106360,93640
224,108400,91600
225,110400,89600
226,91360,88640
227,90360,89640
228,90000,90000
229,90840,89160
230,92440,87560
231,92560,87440
232,93080,86920
233,92520,87480
234,94000,86000
235,93440,86560
236,93600,86400
237,92480,87520
238,94320,85680
239,93240,86760
240,93680,86320
241,94000,86000
242,94720,85280
243,95760,84240
244,95560,84440
245,95520,84480
246,96400,83600
247,96920,83080
248,97040,82960
249,96240,83760
250,96440,83560
251,96720,83280
252,97240,82760
253,97360,82640
254,98280,81720
255,98600,81400
256,98000,82000
257,99720,80280
258,101040,78960
259,102880,77120
260,102720,77280
261,106240,73760
262,107160,72840
263,107520,72480
264,106920,73080
265,84920,75080
266,84520,75480
267,84040,75960
268,84040,75960
269,84800,75200
270,84880,75120
271,84320,75680
272,83640,76360
273,83360,76640
274,83520,76480
275,83880,76120
276,84720,75280
277,86000,74000
278,84600,75400
279,85920,74080
280,85800,74200
281,85880,74120
282,85160,74840
283,85360,74640
284,84760,75240
285,83560,76440
286,83800,76200
287,84760,75240
288,85000,75000
289,85480,74520
290,84600,75400
291,84360,75640
292,85040,74960
293,86120,73880
294,86520,73480
295,86920,73080
296,85880,74120
297,84760,75240
298,84080,75920
299,83520,76480
300,82920,77080
301,83200,76800
302,81520,78480
303,81080,78920
304,81840,78160
305,80880,79120
306,82040,77960
307,81800,78200
308,79720,80280
309,78960,81040
310,78720,81280
311,78880,81120
312,80160,79840
313,80640,79360
314,80960,79040
315,79800,80200
316,79920,80080
317,81160,78840
318,80280,79720
319,80320,79680
320,80800,79200
321,81480,78520
322,81600,78400
323,83560,76440
324,84080,75920
325,83160,76840
326,82240,77760
327,83080,76920
328,82640,77360
329,82600,77400
330,81480,78520
331,80720,79280
332,78880,81120
333,79720,80280
334,81920,78080
335,82240,77760
336,83520,76480
337,83480,76520
338,82600,77400
339,81080,78920
340,81920,78080
341,83960,76040
342,85160,74840
343,85680,74320
344,83640,76360
345,83600,76400
346,83640,76360
347,84800,75200
348,85640,74360
349,83920,76080
350,83680,76320
351,85040,74960
352,84920,75080
353,85120,74880
354,64560,75440
355,65440,74560
356,65000,75000
357,66360,73640
358,66520,73480
359,67320,72680
360,68200,71800
361,67440,72560
362,65760,74240
363,65080,74920
364,64880,75120
365,64360,75640
366,63760,76240
367,64080,75920
368,64480,75520
369,63280,76720
370,63640,76360
371,64240,75760
372,65680,74320
373,67160,72840
374,67560,72440
375,65840,74160
376,64640,75360
377,63800,76200
378,64400,75600
379,62960,77040
380,62920,77080
381,62680,77320
382,61680,78320
383,63680,76320
384,64800,75200
385,63680,76320
386,62760,77240
387,62680,77320
388,64160,75840
389,64120,75880
390,64480,75520
391,64440,75560
392,65080,74920
393,63640,76360
394,63280,76720
395,64000,76000
396,63080,76920
397,64000,76000
398,63680,76320
399,64680,75320
400,63680,76320
401,63120,76880
402,62560,77440
403,62080,77920
404,61800,78200
405,61680,78320
406,62240,77760
407,61680,78320
408,62440,77560
409,62880,77120
410,62000,78000
411,63560,76440
412,62960,77040
413,63440,76560
414,64320,75680
415,64560,75440
416,63600,76400
417,65360,74640
418,66000,74000
419,67360,72640
420,67960,72040
421,68520,51480
422,68200,51800
423,66880,53120
424,66680,53320
425,67040,52960
426,66520,53480
427,67480,52520
428,67120,52880
429,67080,52920
430,68400,51600
431,68000,52000
432,66640,53360
433,65880,54120
434,65800,54200
435,66480,53520
436,67080,52920
437,67760,52240
438,68720,51280
439,68200,51800
440,68320,51680
441,68240,51760
442,67080,52920
443,66440,53560
444,67000,53000
445,67040,52960
446,67400,52600
447,66640,53360
448,66440,53560
449,67000,53000
